年 / Year,Overall Crime / 總體罪案,罪案率 Crime Rate,暴力罪案 / Violent Crime,罪案率 Crime Rate,兇殺案 / Homicide,行劫案 / Robbery,爆竊案 / Burglary,傷人及嚴重毆打案 / Wounding and Serious Assault,嚴重毒品罪行 / Serious Drug Offences,刑事恐嚇案 / Criminal Intimidation,強姦案 / Rape,盜竊案 / All Thefts,扒竊案 / Pickpocketing,失車案 / Missing Motor Vehicle,詐騙案 / Deception,與三合會相關的罪案 / Triad Related Crime,少年/Juveniles,青年/Young Persons,青少年/Youth
2008 ,78469 ,1128 ,14429 ,207 ,36 ,1100 ,4774,7882,2966,1934,105 ,35230,940,1360,4653,2376,4178,4830,9008
2009 ,77630 ,1113 ,14193 ,204 ,47 ,870 ,4489,7688,2929,2338,136 ,34554,1082,1106,5130,2351,4006,4684,8690
2010 ,75965 ,1081 ,13546 ,193 ,35 ,778 ,4543,7140,2196,2343,112 ,34343,1400,952,5652,2037,3576,4255,7831
2011 ,75936 ,1074 ,13100 ,185 ,17 ,731 ,4382,6904,2045,2259,91 ,35026,1583,869,6134,2207,3343,4350,7693
2012 ,75930 ,1062 ,12821 ,179 ,27 ,616 ,4214,6818,2141,2230,121 ,33664,1540,626,6923,2340,2488,4034,6522
2013 ,72911 ,1016 ,12153 ,169 ,62 ,500 ,3573,6163,2269,1958,105 ,31598,1467,592,7518,2035,2083,3314,5397
2014 ,67740 ,937 ,11073 ,153 ,27 ,309 ,2700,5629,1855,1862,56 ,28596,1077,567,8861,1643,1510,2814,4324
2015 ,66439 ,911 ,10889 ,149 ,22 ,223 ,2579,5360,1891,1736,70 ,27512,1109,577,9353,1812,1309,2826,4135
2016 ,60646 ,827 ,10103 ,138 ,28 ,260 ,2428,5024,1712,1734,71 ,25628,876,433,7260,1872,1074,2292,3366
2017 ,56017 ,758 ,9086 ,123 ,24 ,163 ,1872,4611,1553,1668,65 ,23806,682,511,7091,1798,928,1804,2732
2018 ,54225 ,728 ,8884 ,119 ,48 ,147 ,1575,4593,1399,1512,63 ,21309,740,438,8372,1715,928,1841,2769
